,keywords
484,"{'francis': 0.408, 'lewis': 0.35, 'gold': 0.315, 'relay': 0.269, 'athens': 0.224}"
485,"{'davenport': 0.377, 'myskina': 0.313, 'hantuchova': 0.302, 'williams': 0.267, 'martinez': 0.208}"
486,"{'party': 0.337, 'election': 0.305, 'kennedy': 0.238, 'lib': 0.223, 'opposition': 0.215}"
487,"{'wolves': 0.645, 'southampton': 0.369, 'club': 0.226, 'manager': 0.171, 'linked': 0.144}"
488,"{'indoor': 0.411, 'cross': 0.352, 'injuries': 0.274, 'championships': 0.255, 'race': 0.224}"
489,"{'cairn': 0.768, 'oil': 0.245, 'barrels': 0.212, 'fields': 0.165, 'shares': 0.163}"
490,"{'giggs': 0.714, 'wales': 0.262, 'cap': 0.202, 'united': 0.194, 'admits': 0.133}"
491,"{'sound': 0.271, 'music': 0.233, 'survey': 0.213, 'rock': 0.212, 'band': 0.205}"
492,"{'gadgets': 0.429, 'gadget': 0.334, 'list': 0.259, 'stuff': 0.254, 'lovers': 0.197}"
493,"{'brown': 0.378, 'labour': 0.361, 'blair': 0.245, 'election': 0.232, 'manifesto': 0.21}"
494,"{'tottenham': 0.359, 'sporting': 0.246, 'spurs': 0.19, 'stevens': 0.185, 'jacques': 0.185}"
495,"{'wales': 0.395, 'strike': 0.339, 'civil': 0.336, 'servants': 0.279, 'jobs': 0.19}"
496,"{'msn': 0.385, 'blogs': 0.377, 'blogging': 0.303, 'microsoft': 0.276, 'web': 0.2}"
497,"{'yukos': 0.506, 'rosneft': 0.362, 'gazprom': 0.274, 'auction': 0.244, 'baikal': 0.208}"
498,"{'countries': 0.308, 'poorest': 0.284, 'debt': 0.262, 'brown': 0.235, 'finance': 0.225}"
499,"{'argentina': 0.573, 'debt': 0.393, 'offer': 0.228, 'bn': 0.228, 'accept': 0.181}"
500,"{'divide': 0.428, 'digital': 0.298, 'access': 0.264, 'fund': 0.243, 'report': 0.239}"
501,"{'bonus': 0.479, 'policies': 0.323, 'stock': 0.297, 'cut': 0.244, 'profits': 0.231}"
502,"{'advertising': 0.322, 'children': 0.317, 'food': 0.302, 'products': 0.249, 'label': 0.223}"
503,"{'kenteris': 0.438, 'tribunal': 0.313, 'doping': 0.286, 'iaaf': 0.241, 'greek': 0.234}"
504,"{'kerr': 0.551, 'goal': 0.299, 'duff': 0.272, 'republic': 0.232, 'frustrated': 0.171}"
505,"{'mourinho': 0.422, 'gallas': 0.388, 'chelsea': 0.333, 'arsenal': 0.21, 'dressing': 0.177}"
506,"{'drogba': 0.358, 'liverpool': 0.342, 'chelsea': 0.28, 'gerrard': 0.228, 'blues': 0.214}"
507,"{'fiat': 0.7, 'gm': 0.538, 'auto': 0.178, 'car': 0.139, 'agreement': 0.102}"
508,"{'computing': 0.319, 'technology': 0.264, 'value': 0.249, 'innovation': 0.228, 'women': 0.182}"
509,"{'gogh': 0.52, 'dutch': 0.453, 'van': 0.369, 'murder': 0.209, 'film': 0.157}"
510,"{'women': 0.439, 'wimbledon': 0.326, 'davenport': 0.28, 'phillips': 0.267, 'prize': 0.263}"
511,"{'agassi': 0.584, 'roddick': 0.318, 'san': 0.186, 'jose': 0.184, 'th': 0.138}"
512,"{'laptops': 0.469, 'laptop': 0.404, 'child': 0.259, 'digital': 0.192, 'education': 0.166}"
513,"{'inbev': 0.716, 'volume': 0.282, 'brazil': 0.264, 'sales': 0.239, 'beer': 0.223}"
514,"{'regulation': 0.471, 'content': 0.457, 'internet': 0.285, 'net': 0.245, 'tv': 0.242}"
515,"{'khan': 0.611, 'visa': 0.36, 'norway': 0.283, 'bollywood': 0.211, 'actress': 0.208}"
516,"{'campaign': 0.438, 'labour': 0.407, 'brown': 0.278, 'prominent': 0.218, 'role': 0.186}"
517,"{'gara': 0.442, 'ireland': 0.395, 'minute': 0.256, 'penalty': 0.251, 'south': 0.214}"
518,"{'yukos': 0.532, 'sale': 0.258, 'yugansk': 0.257, 'gazprom': 0.247, 'court': 0.199}"
519,"{'lord': 0.456, 'succession': 0.308, 'discrimination': 0.249, 'royal': 0.202, 'bill': 0.2}"
520,"{'fiat': 0.787, 'car': 0.296, 'gm': 0.179, 'auto': 0.162, 'business': 0.151}"
521,"{'bt': 0.735, 'broadband': 0.374, 'calls': 0.236, 'customers': 0.19, 'free': 0.132}"
522,"{'nokia': 0.435, 'bus': 0.3, 'transport': 0.238, 'information': 0.23, 'system': 0.217}"
523,"{'mcletchie': 0.682, 'conflict': 0.311, 'murray': 0.229, 'perception': 0.165, 'advised': 0.157}"
524,"{'dvd': 0.408, 'blu': 0.338, 'format': 0.293, 'sony': 0.248, 'hd': 0.237}"
525,"{'air': 0.385, 'airline': 0.293, 'control': 0.205, 'tycoon': 0.175, 'buyer': 0.173}"
526,"{'mourinho': 0.546, 'chelsea': 0.287, 'league': 0.258, 'fa': 0.239, 'cup': 0.237}"
527,"{'victims': 0.432, 'bank': 0.388, 'settlement': 0.308, 'madrid': 0.207, 'relating': 0.177}"
528,"{'re': 0.322, 'recording': 0.269, 'charity': 0.258, 'issued': 0.235, 'released': 0.191}"
529,"{'souness': 0.531, 'newcastle': 0.265, 'chelsea': 0.254, 'graeme': 0.175, 'surplus': 0.167}"
530,"{'labour': 0.383, 'blair': 0.347, 'party': 0.293, 'lane': 0.176, 'iraq': 0.167}"
531,"{'murder': 0.518, 'jail': 0.319, 'filmed': 0.311, 'rapper': 0.286, 'video': 0.283}"
532,"{'england': 0.284, 'brown': 0.274, 'pulled': 0.267, 'squad': 0.229, 'defensive': 0.224}"
533,"{'campbell': 0.565, 'relay': 0.252, 'olympic': 0.246, 'athens': 0.21, 'gold': 0.196}"
534,"{'smoking': 0.452, 'ban': 0.386, 'smoke': 0.296, 'health': 0.274, 'mcconnell': 0.251}"
535,"{'pc': 0.538, 'pcs': 0.285, 'markets': 0.276, 'china': 0.27, 'report': 0.219}"
536,"{'charity': 0.333, 'single': 0.322, 'song': 0.301, 'aid': 0.291, 'band': 0.288}"
537,"{'google': 0.45, 'worm': 0.39, 'program': 0.303, 'sites': 0.233, 'malicious': 0.196}"
538,"{'athletes': 0.447, 'radcliffe': 0.388, 'drugs': 0.298, 'treated': 0.233, 'performance': 0.155}"
539,"{'adult': 0.344, 'adults': 0.317, 'report': 0.247, 'skills': 0.236, 'education': 0.203}"
540,"{'rates': 0.347, 'bank': 0.28, 'manufacturing': 0.265, 'consumer': 0.211, 'economy': 0.184}"
541,"{'film': 0.413, 'postponed': 0.335, 'movie': 0.222, 'friday': 0.2, 'court': 0.194}"
542,"{'lords': 0.445, 'law': 0.282, 'ruling': 0.27, 'judgement': 0.252, 'detention': 0.199}"
543,"{'index': 0.342, 'optimism': 0.291, 'gdp': 0.281, 'election': 0.231, 'growth': 0.228}"
544,"{'bening': 0.762, 'role': 0.222, 'award': 0.184, 'film': 0.181, 'opposite': 0.147}"
545,"{'rusedski': 0.495, 'seed': 0.409, 'forced': 0.213, 'ljubicic': 0.174, 'mario': 0.165}"
546,"{'radcliffe': 0.636, 'chepkemei': 0.31, 'race': 0.251, 'miles': 0.184, 'briton': 0.178}"
547,"{'ink': 0.832, 'elections': 0.313, 'voter': 0.138, 'light': 0.099, 'ballot': 0.097}"
548,"{'women': 0.505, 'kennedy': 0.293, 'childcare': 0.292, 'maternity': 0.238, 'party': 0.207}"
549,"{'festival': 0.37, 'films': 0.351, 'european': 0.289, 'berlin': 0.213, 'cinema': 0.182}"
550,"{'clarke': 0.302, 'immigration': 0.274, 'tories': 0.232, 'labour': 0.232, 'asylum': 0.192}"
551,"{'bond': 0.652, 'casino': 0.363, 'film': 0.241, 'campbell': 0.212, 'producers': 0.156}"
552,"{'brown': 0.446, 'politics': 0.259, 'eyes': 0.196, 'memory': 0.19, 'debt': 0.166}"
553,"{'blu': 0.447, 'dvd': 0.354, 'ray': 0.31, 'dvds': 0.227, 'games': 0.186}"
554,"{'arrested': 0.607, 'bnp': 0.335, 'commit': 0.273, 'suspicion': 0.215, 'documentary': 0.199}"
555,"{'austria': 0.696, 'musical': 0.242, 'song': 0.225, 'film': 0.215, 'production': 0.196}"
556,"{'blacks': 0.33, 'baa': 0.302, 'zealand': 0.272, 'gear': 0.236, 'tries': 0.197}"
557,"{'greenspan': 0.498, 'smith': 0.47, 'dr': 0.286, 'adam': 0.233, 'economist': 0.191}"
558,"{'mcilroy': 0.681, 'indoor': 0.35, 'cold': 0.184, 'northern': 0.161, 'hoping': 0.15}"
559,"{'alexander': 0.398, 'stone': 0.378, 'film': 0.278, 'box': 0.238, 'oliver': 0.215}"
560,"{'bolton': 0.644, 'roma': 0.367, 'hunt': 0.204, 'defender': 0.184, 'signed': 0.146}"
561,"{'presley': 0.713, 'pops': 0.341, 'elvis': 0.289, 'rock': 0.228, 'plays': 0.159}"
562,"{'telewest': 0.479, 'video': 0.328, 'ntl': 0.298, 'demand': 0.267, 'programmes': 0.251}"
563,"{'gm': 0.489, 'car': 0.348, 'luxury': 0.253, 'factory': 0.253, 'sweden': 0.235}"
564,"{'dawson': 0.402, 'wasps': 0.402, 'contract': 0.316, 'matt': 0.22, 'england': 0.219}"
565,"{'election': 0.274, 'chancellor': 0.274, 'budget': 0.27, 'brown': 0.266, 'howard': 0.259}"
566,"{'prize': 0.437, 'spark': 0.317, 'author': 0.274, 'garcia': 0.224, 'authors': 0.209}"
567,"{'brown': 0.289, 'civil': 0.276, 'blair': 0.263, 'chancellor': 0.248, 'union': 0.235}"
568,"{'festival': 0.531, 'singer': 0.257, 'features': 0.218, 'michael': 0.204, 'life': 0.2}"
569,"{'tale': 0.44, 'shrek': 0.373, 'dvd': 0.363, 'video': 0.278, 'selling': 0.157}"
570,"{'blake': 0.541, 'gun': 0.429, 'murder': 0.326, 'actor': 0.173, 'clothes': 0.165}"
571,"{'delegates': 0.298, 'tory': 0.253, 'labour': 0.216, 'conference': 0.201, 'bill': 0.186}"
572,"{'film': 0.309, 'winner': 0.241, 'award': 0.22, 'ross': 0.203, 'hero': 0.199}"
573,"{'computer': 0.455, 'data': 0.399, 'files': 0.219, 'recovery': 0.207, 'file': 0.152}"
574,"{'indonesia': 0.272, 'british': 0.214, 'blair': 0.211, 'aid': 0.208, 'visit': 0.171}"
575,"{'mpaa': 0.457, 'bittorrent': 0.349, 'operators': 0.267, 'file': 0.263, 'peer': 0.217}"
576,"{'robot': 0.704, 'robots': 0.39, 'human': 0.293, 'professor': 0.16, 'situations': 0.126}"
577,"{'hearts': 0.66, 'final': 0.297, 'scored': 0.279, 'leg': 0.237, 'minutes': 0.237}"
578,"{'birmingham': 0.377, 'pole': 0.312, 'athens': 0.258, 'competing': 0.256, 'records': 0.243}"
579,"{'chip': 0.527, 'cell': 0.327, 'sony': 0.248, 'playstation': 0.241, 'processor': 0.206}"
580,"{'music': 0.434, 'service': 0.359, 'napster': 0.338, 'subscription': 0.262, 'offers': 0.195}"
581,"{'spanish': 0.433, 'rooney': 0.335, 'spain': 0.29, 'england': 0.223, 'english': 0.221}"
582,"{'ray': 0.491, 'dvd': 0.406, 'film': 0.366, 'oscar': 0.249, 'box': 0.177}"
583,"{'comedy': 0.489, 'itv': 0.247, 'award': 0.244, 'gervais': 0.227, 'night': 0.225}"
584,"{'mourinho': 0.513, 'chelsea': 0.337, 'carling': 0.275, 'fa': 0.224, 'cup': 0.167}"
585,"{'cm': 0.486, 'football': 0.338, 'manager': 0.274, 'else': 0.147, 'publishers': 0.128}"
586,"{'tautou': 0.523, 'actress': 0.27, 'vinci': 0.205, 'film': 0.199, 'hanks': 0.198}"
587,"{'sotherton': 0.576, 'jump': 0.43, 'hurdles': 0.248, 'championships': 0.199, 'form': 0.153}"
588,"{'mourinho': 0.489, 'arsenal': 0.303, 'chelsea': 0.289, 'jose': 0.209, 'especially': 0.184}"
589,"{'broadband': 0.56, 'online': 0.228, 'net': 0.217, 'report': 0.215, 'fast': 0.213}"
590,"{'ba': 0.47, 'saudi': 0.461, 'flights': 0.45, 'arabia': 0.322, 'suspend': 0.222}"
591,"{'blunkett': 0.344, 'terrorism': 0.21, 'accept': 0.199, 'committed': 0.197, 'speaking': 0.174}"
592,"{'china': 0.506, 'media': 0.391, 'foreign': 0.259, 'joint': 0.199, 'broadcasting': 0.177}"
593,"{'reliance': 0.446, 'buy': 0.352, 'feud': 0.274, 'indian': 0.218, 'board': 0.186}"
594,"{'federer': 0.545, 'coach': 0.282, 'australian': 0.242, 'agassi': 0.236, 'swiss': 0.204}"
595,"{'richard': 0.348, 'sir': 0.323, 'fox': 0.3, 'viewers': 0.286, 'ratings': 0.224}"
596,"{'wilkinson': 0.624, 'england': 0.221, 'match': 0.194, 'andrew': 0.179, 'hoping': 0.178}"
597,"{'harry': 0.474, 'potter': 0.358, 'dvd': 0.308, 'film': 0.208, 'scenes': 0.172}"
598,"{'age': 0.662, 'voting': 0.406, 'elected': 0.173, 'commission': 0.139, 'teenagers': 0.138}"
599,"{'lycos': 0.441, 'spam': 0.392, 'sites': 0.377, 'screensaver': 0.315, 'campaign': 0.254}"
600,"{'patrol': 0.363, 'irish': 0.362, 'snow': 0.327, 'mcfadden': 0.272, 'album': 0.249}"
601,"{'harry': 0.41, 'potter': 0.406, 'book': 0.396, 'sixth': 0.256, 'blood': 0.255}"
602,"{'pension': 0.463, 'life': 0.387, 'worker': 0.304, 'age': 0.284, 'professional': 0.26}"
603,"{'bowl': 0.522, 'super': 0.388, 'jackson': 0.236, 'sir': 0.183, 'paul': 0.178}"
604,"{'book': 0.315, 'vinci': 0.298, 'fun': 0.295, 'da': 0.267, 'claims': 0.213}"
605,"{'parry': 0.495, 'gerrard': 0.395, 'liverpool': 0.354, 'steven': 0.331, 'club': 0.152}"
606,"{'file': 0.503, 'sharing': 0.322, 'peer': 0.239, 'supreme': 0.232, 'court': 0.223}"
607,"{'xp': 0.467, 'windows': 0.376, 'microsoft': 0.29, 'software': 0.215, 'traders': 0.204}"
608,"{'mayor': 0.511, 'jewish': 0.329, 'livingstone': 0.278, 'ken': 0.227, 'inappropriate': 0.164}"
609,"{'sevens': 0.638, 'england': 0.369, 'hong': 0.194, 'kong': 0.187, 'cup': 0.17}"
610,"{'broadband': 0.559, 'online': 0.228, 'net': 0.217, 'report': 0.215, 'fast': 0.213}"
611,"{'keegan': 0.392, 'age': 0.243, 'city': 0.229, 'am': 0.206, 'deal': 0.189}"
612,"{'brown': 0.551, 'blair': 0.278, 'chancellor': 0.252, 'labour': 0.205, 'westminster': 0.165}"
613,"{'students': 0.58, 'fees': 0.331, 'universities': 0.283, 'scotland': 0.282, 'scottish': 0.253}"
614,"{'tour': 0.513, 'spears': 0.502, 'knee': 0.24, 'video': 0.166, 'hotel': 0.156}"
615,"{'design': 0.315, 'gadget': 0.204, 'chair': 0.201, 'images': 0.187, 'device': 0.185}"
616,"{'rates': 0.39, 'manufacturing': 0.265, 'bank': 0.239, 'consumer': 0.211, 'economy': 0.184}"
617,"{'mac': 0.356, 'pc': 0.306, 'machine': 0.271, 'mini': 0.257, 'dvd': 0.216}"
618,"{'search': 0.603, 'desktop': 0.438, 'software': 0.262, 'microsoft': 0.235, 'google': 0.21}"
619,"{'virgin': 0.702, 'radio': 0.455, 'station': 0.205, 'download': 0.138, 'via': 0.126}"
620,"{'israel': 0.672, 'bank': 0.295, 'sharon': 0.2, 'nomination': 0.169, 'finance': 0.137}"
621,"{'evidence': 0.455, 'tap': 0.386, 'suspects': 0.327, 'phone': 0.268, 'terror': 0.174}"
622,"{'trust': 0.57, 'politicians': 0.462, 'poll': 0.155, 'voters': 0.153, 'public': 0.132}"
623,"{'doubles': 0.529, 'ferrero': 0.272, 'spain': 0.249, 'carlos': 0.216, 'singles': 0.194}"
624,"{'games': 0.468, 'learning': 0.443, 'classroom': 0.359, 'owen': 0.203, 'educational': 0.197}"
625,"{'production': 0.454, 'tonnes': 0.367, 'farmers': 0.242, 'announced': 0.196, 'launch': 0.151}"
626,"{'hiv': 0.675, 'aids': 0.484, 'business': 0.163, 'report': 0.152, 'businesses': 0.134}"
627,"{'band': 0.403, 'bristol': 0.323, 'album': 0.253, 'haven': 0.18, 'record': 0.173}"
628,"{'drama': 0.444, 'includes': 0.215, 'adaptation': 0.21, 'christmas': 0.205, 'winter': 0.191}"
629,"{'bates': 0.516, 'squad': 0.313, 'tie': 0.278, 'davis': 0.208, 'rusedski': 0.177}"
630,"{'virtual': 0.328, 'system': 0.292, 'watching': 0.28, 'vision': 0.22, 'dr': 0.203}"
631,"{'deficit': 0.388, 'dollar': 0.316, 'greenspan': 0.268, 'reserve': 0.207, 'currency': 0.198}"
632,"{'printer': 0.577, 'ink': 0.427, 'hp': 0.363, 'lawsuit': 0.212, 'chip': 0.202}"
633,"{'gallery': 0.574, 'tate': 0.395, 'messages': 0.187, 'light': 0.18, 'receive': 0.172}"
634,"{'mutu': 0.824, 'club': 0.204, 'banned': 0.19, 'chelsea': 0.167, 'talks': 0.153}"
635,"{'hp': 0.44, 'digital': 0.361, 'revolution': 0.213, 'ms': 0.182, 'technology': 0.176}"
636,"{'bush': 0.408, 'president': 0.292, 'denial': 0.235, 'eu': 0.223, 'blair': 0.221}"
637,"{'ds': 0.613, 'nintendo': 0.459, 'psp': 0.27, 'handheld': 0.248, 'games': 0.151}"
638,"{'brown': 0.279, 'election': 0.24, 'westminster': 0.215, 'rivalry': 0.186, 'rift': 0.18}"
639,"{'economic': 0.313, 'thailand': 0.256, 'tourist': 0.201, 'tourism': 0.201, 'stock': 0.186}"
640,"{'id': 0.564, 'cards': 0.421, 'introduce': 0.194, 'tories': 0.153, 'bill': 0.146}"
641,"{'turnout': 0.42, 'politics': 0.374, 'voter': 0.311, 'kennedy': 0.233, 'cook': 0.207}"
642,"{'club': 0.434, 'euros': 0.384, 'rent': 0.21, 'creditors': 0.205, 'posted': 0.182}"
643,"{'rusedski': 0.531, 'atp': 0.331, 'greg': 0.2, 'available': 0.19, 'hopefully': 0.175}"
644,"{'attacks': 0.498, 'traffic': 0.304, 'sites': 0.285, 'net': 0.265, 'data': 0.257}"
645,"{'mcclaren': 0.684, 'stewart': 0.27, 'champions': 0.213, 'goal': 0.198, 'league': 0.193}"
646,"{'prince': 0.384, 'graphics': 0.183, 'moves': 0.179, 'perform': 0.175, 'fun': 0.172}"
647,"{'embargo': 0.493, 'arms': 0.438, 'straw': 0.346, 'china': 0.335, 'lifted': 0.282}"
648,"{'robots': 0.362, 'movie': 0.303, 'cinemas': 0.226, 'weekend': 0.225, 'version': 0.223}"
649,"{'mobile': 0.395, 'hsdpa': 0.393, 'networks': 0.256, 'mbps': 0.233, 'speeds': 0.228}"
650,"{'williams': 0.328, 've': 0.259, 'scotland': 0.236, 'luscombe': 0.205, 're': 0.19}"
651,"{'abc': 0.395, 'fox': 0.393, 'nbc': 0.301, 'swap': 0.265, 'wife': 0.236}"
652,"{'gene': 0.496, 'blue': 0.376, 'machine': 0.305, 'ibm': 0.221, 'speed': 0.202}"
653,"{'rangers': 0.541, 'celtic': 0.256, 'favourites': 0.247, 'goals': 0.219, 'beat': 0.173}"
654,"{'children': 0.622, 'asylum': 0.348, 'child': 0.277, 'return': 0.195, 'care': 0.176}"
655,"{'eminem': 0.471, 'gig': 0.276, 'album': 0.275, 'rap': 0.265, 'pops': 0.203}"
656,"{'biarritz': 0.432, 'munster': 0.283, 'switched': 0.253, 'heineken': 0.244, 'cup': 0.241}"
657,"{'lycos': 0.451, 'screensaver': 0.451, 'sites': 0.343, 'spam': 0.301, 'spammers': 0.168}"
658,"{'kirwan': 0.584, 'italy': 0.277, 'orquera': 0.277, 'half': 0.196, 'defence': 0.184}"
659,"{'beckham': 0.549, 'madrid': 0.245, 'real': 0.231, 'argentina': 0.194, 'la': 0.192}"
660,"{'burden': 0.237, 'letwin': 0.222, 'tax': 0.206, 'failure': 0.195, 'party': 0.18}"
661,"{'johnson': 0.307, 'dr': 0.297, 'awards': 0.247, 'allegedly': 0.238, 'rapper': 0.236}"
662,"{'wto': 0.495, 'russia': 0.418, 'progress': 0.268, 'membership': 0.252, 'hong': 0.171}"
663,"{'community': 0.373, 'muslim': 0.309, 'targeted': 0.271, 'police': 0.263, 'search': 0.2}"
664,"{'musical': 0.396, 'premiere': 0.341, 'theatre': 0.332, 'canada': 0.212, 'london': 0.207}"
665,"{'rule': 0.31, 'spending': 0.27, 'cycle': 0.265, 'golden': 0.255, 'economy': 0.247}"
666,"{'growth': 0.291, 'steady': 0.267, 'economy': 0.254, 'job': 0.217, 'jobs': 0.178}"
667,"{'dvd': 0.579, 'copy': 0.336, 'dvds': 0.276, 'piracy': 0.193, 'programs': 0.176}"
668,"{'firms': 0.444, 'listings': 0.384, 'sec': 0.284, 'act': 0.217, 'foreign': 0.203}"
669,"{'sea': 0.334, 'festival': 0.285, 'inside': 0.268, 'wong': 0.264, 'award': 0.223}"
670,"{'dvd': 0.577, 'dvds': 0.312, 'copy': 0.305, 'peer': 0.223, 'piracy': 0.174}"
671,"{'athens': 0.379, 'athletics': 0.336, 'irish': 0.239, 'mcilroy': 0.144, 'final': 0.142}"
672,"{'microsoft': 0.374, 'explorer': 0.286, 'user': 0.267, 'passport': 0.267, 'windows': 0.261}"
673,"{'climate': 0.347, 'islands': 0.208, 'warning': 0.208, 'wind': 0.193, 'committee': 0.189}"
674,"{'software': 0.447, 'internet': 0.282, 'computer': 0.216, 'crack': 0.173, 'piracy': 0.155}"
675,"{'kilroy': 0.531, 'silk': 0.455, 'ukip': 0.447, 'party': 0.273, 'veritas': 0.21}"
676,"{'yushchenko': 0.352, 'ukraine': 0.316, 'steel': 0.303, 'sale': 0.253, 'court': 0.245}"
677,"{'wage': 0.623, 'minimum': 0.531, 'increase': 0.227, 'pay': 0.167, 'wages': 0.125}"
678,"{'ceremony': 0.391, 'oscar': 0.312, 'rock': 0.237, 'actress': 0.233, 'abc': 0.221}"
679,"{'davenport': 0.595, 'slams': 0.313, 'knee': 0.262, 'retirement': 0.251, 'grand': 0.206}"
680,"{'jet': 0.698, 'airways': 0.205, 'rapidly': 0.195, 'shares': 0.182, 'travel': 0.153}"
681,"{'prices': 0.439, 'oil': 0.426, 'crude': 0.34, 'barrel': 0.29, 'dollar': 0.24}"
682,"{'dollar': 0.424, 'exports': 0.273, 'european': 0.272, 'ministers': 0.177, 'tokyo': 0.176}"
683,"{'contestants': 0.299, 'janet': 0.299, 'natalie': 0.284, 'celebrities': 0.276, 'quit': 0.224}"
684,"{'apology': 0.491, 'national': 0.321, 'egypt': 0.304, 'press': 0.266, 'apologise': 0.193}"
685,"{'wto': 0.601, 'membership': 0.292, 'afghanistan': 0.235, 'iran': 0.232, 'application': 0.204}"
686,"{'musical': 0.487, 'spend': 0.417, 'wonderful': 0.27, 'stern': 0.228, 'film': 0.216}"
687,"{'brando': 0.397, 'film': 0.269, 'institute': 0.204, 'trends': 0.17, 'cited': 0.17}"
688,"{'woodward': 0.425, 'lions': 0.355, 'rugby': 0.291, 'dallaglio': 0.203, 'players': 0.173}"
689,"{'award': 0.297, 'film': 0.291, 'leigh': 0.287, 'staunton': 0.222, 'named': 0.218}"
690,"{'kenya': 0.427, 'mp': 0.278, 'davies': 0.244, 'attacked': 0.232, 'park': 0.208}"
691,"{'election': 0.245, 'labour': 0.191, 'employed': 0.177, 'policy': 0.165, 'incomes': 0.164}"
692,"{'coast': 0.525, 'nationals': 0.322, 'troops': 0.309, 'french': 0.282, 'air': 0.16}"
693,"{'francis': 0.46, 'lewis': 0.395, 'relay': 0.228, 'am': 0.203, 'advice': 0.196}"
694,"{'holmes': 0.557, 'gardener': 0.194, 'worlds': 0.184, 'norwich': 0.183, 'indoor': 0.166}"
695,"{'greene': 0.361, 'scott': 0.275, 'birmingham': 0.265, 'olympic': 0.239, 'champion': 0.228}"
696,"{'search': 0.518, 'desktop': 0.487, 'files': 0.222, 'yahoo': 0.219, 'searching': 0.219}"
697,"{'prince': 0.545, 'harry': 0.485, 'apology': 0.259, 'apologised': 0.194, 'howard': 0.166}"
698,"{'olympic': 0.329, 'holmes': 0.258, 'medal': 0.241, 'radcliffe': 0.227, 'athens': 0.225}"
699,"{'eu': 0.414, 'embargo': 0.351, 'china': 0.347, 'lifted': 0.344, 'arms': 0.311}"
700,"{'police': 0.493, 'policing': 0.416, 'blunkett': 0.352, 'community': 0.201, 'local': 0.171}"
701,"{'networks': 0.355, 'file': 0.325, 'content': 0.238, 'sharing': 0.211, 'music': 0.188}"
702,"{'ferguson': 0.472, 'ministers': 0.285, 'patient': 0.284, 'scottish': 0.247, 'leave': 0.19}"
703,"{'owen': 0.413, 'thomas': 0.301, 'captain': 0.29, 'massive': 0.211, 'squad': 0.21}"
704,"{'growth': 0.493, 'economic': 0.281, 'economies': 0.257, 'deficit': 0.232, 'euro': 0.209}"
705,"{'eastenders': 0.593, 'ratings': 0.316, 'soap': 0.22, 'proved': 0.169, 'network': 0.147}"
706,"{'gara': 0.479, 'ireland': 0.459, 'argentina': 0.333, 'minutes': 0.273, 'penalty': 0.243}"
707,"{'prices': 0.348, 'price': 0.28, 'average': 0.225, 'stuart': 0.214, 'retailers': 0.204}"
708,"{'fsa': 0.671, 'insurance': 0.341, 'lloyd': 0.308, 'insurers': 0.252, 'request': 0.144}"
709,"{'sun': 0.615, 'grid': 0.413, 'computing': 0.41, 'hour': 0.177, 'capacity': 0.143}"
710,"{'citigroup': 0.546, 'criminal': 0.261, 'investigation': 0.201, 'germany': 0.183, 'traders': 0.175}"
711,"{'lawsuit': 0.424, 'revolution': 0.278, 'medical': 0.242, 'studios': 0.235, 'mental': 0.199}"
712,"{'band': 0.303, 'french': 0.279, 'blue': 0.278, 'awards': 0.273, 'international': 0.264}"
713,"{'orchestra': 0.545, 'director': 0.271, 'oscars': 0.254, 'music': 0.229, 'musical': 0.194}"
714,"{'express': 0.483, 'american': 0.325, 'financial': 0.324, 'spin': 0.254, 'selling': 0.191}"
715,"{'lee': 0.469, 'spider': 0.328, 'stan': 0.261, 'paramount': 0.226, 'create': 0.216}"
716,"{'book': 0.412, 'forest': 0.31, 'author': 0.26, 'brother': 0.257, 'scott': 0.243}"
717,"{'access': 0.359, 'court': 0.296, 'parents': 0.222, 'falconer': 0.216, 'compulsory': 0.214}"
718,"{'apple': 0.601, 'journalists': 0.312, 'sources': 0.304, 'reporters': 0.241, 'information': 0.206}"
719,"{'india': 0.506, 'nations': 0.302, 'exchange': 0.237, 'meeting': 0.207, 'finance': 0.185}"
720,"{'moore': 0.415, 'sooner': 0.288, 'triple': 0.257, 'return': 0.244, 'injury': 0.181}"
721,"{'directive': 0.436, 'parliament': 0.283, 'patent': 0.273, 'ec': 0.226, 'council': 0.225}"
722,"{'seed': 0.461, 'semi': 0.295, 'beat': 0.23, 'lost': 0.195, 'fernando': 0.188}"
723,"{'sunderland': 0.653, 'poised': 0.3, 'robbie': 0.261, 'clubs': 0.243, 'fulham': 0.146}"
724,"{'howard': 0.4, 'party': 0.35, 'elections': 0.25, 'issues': 0.193, 'statement': 0.187}"
725,"{'plant': 0.436, 'india': 0.337, 'factory': 0.291, 'indian': 0.235, 'toyota': 0.166}"
726,"{'secs': 0.678, 'indoor': 0.332, 'record': 0.202, 'ran': 0.189, 'bekele': 0.175}"
727,"{'microsoft': 0.369, 'spam': 0.333, 'chapter': 0.276, 'legal': 0.268, 'messages': 0.23}"
728,"{'opec': 0.429, 'oil': 0.396, 'prices': 0.306, 'crude': 0.285, 'barrel': 0.202}"
729,"{'scott': 0.501, 'white': 0.341, 'simpson': 0.315, 'subs': 0.298, 'condemned': 0.154}"
730,"{'patenting': 0.467, 'eu': 0.318, 'directive': 0.275, 'patent': 0.258, 'law': 0.255}"
731,"{'wood': 0.543, 'ireland': 0.343, 'cardiff': 0.228, 'slam': 0.213, 'england': 0.193}"
